unique-id,title,authors,doi,pmid,eissn,issn,advanced_online_year,year,month,journal,number,volume,pages
WOS:000286114200017,A dual function of the CRISPR-Cas system in bacterial antivirus immunity and DNA repair,"Babu,Mohan|Beloglazova,Natalia|Flick,Robert|Graham,Chris|Skarina,Tatiana|Nocek,Boguslaw|Gagarinova,Alla|Pogoutse,Oxana|Brown,Greg|Binkowski,Andrew|Phanse,Sadhna|Joachimiak,Andrzej|Koonin,Eugene V.|Savchenko,Alexei|Emili,Andrew|Greenblatt,Jack|Edwards,Aled M.|Yakunin,Alexander F.",10.1111/j.1365-2958.2010.07465.x,21219465,1365-2958,0950-382X,,2011,January,MOLECULAR MICROBIOLOGY,2,79,484-502
WOS:000336530000021,Cas-OFFinder: a fast and versatile algorithm that searches for potential off-target sites of Cas9 RNA-guided endonucleases,"Bae,Sangsu|Park,Jeongbin|Kim,Jin-Soo",10.1093/bioinformatics/btu048,24463181,1460-2059,1367-4803,,2014,May,BIOINFORMATICS,10,30,1473-1475
WOS:000338321400005,Microhomology-based choice of Cas9 nuclease target sites,"Bae,Sangsu|Kweon,Jiyeon|Kim,Heon|Kim,Jin-Soo",10.1038/nmeth.3015,24972169,1548-7105,1548-7091,,2014,July,NATURE METHODS,7,11,705-706
WOS:000080074500029,Production of goats by somatic cell nuclear transfer,"Baguisi,A.|Behboodi,E.|Melican,D.T.|Pollock,J.S.|Destrempes,M.M.|Cammuso,C.|Williams,J.L.|Nims,S.D.|Porter,C.A.|Midura,P.|Palacios,M.J.|Ayres,S.L.|Denniston,R.S.|Hayes,M.L.|Ziomek,C.A.|Meade,H.M.|Godke,R.A.|Gavin,W.G.|Overstrom,E.W.|Echelard,Y.",,10331804,1546-1696,1087-0156,,1999,May,NATURE BIOTECHNOLOGY,5,17,456-461
WOS:000361009200012,Conditionally Stabilized dCas9 Activator for Controlling Gene Expression in Human Cell Reprogramming and Differentiation,"Balboa,Diego|Weltner,Jere|Eurola,Solja|Trokovic,Ras|Wartiovaara,Kirmo|Otonkoski,Timo",10.1016/j.stemcr.2015.08.001,26352799,,2213-6711,,2015,September,STEM CELL REPORTS,3,5,448-459
WOS:000332223200014,DNA Replicons for Plant Genome Engineering,"Baltes,Nicholas J.|Gil-Humanes,Javier|Cermak,Tomas|Atkins,Paul A.|Voytas,Daniel F.",10.1105/tpc.113.119792,24443519,1532-298X,1040-4651,,2014,January,PLANT CELL,1,26,151-163
WOS:000352079500016,A prudent path forward for genomic engineering and germline gene modification,"Baltimore,David|Berg,Paul|Botchan,Michael|Carroll,Dana|Charo,R. Alta|Church,George|Corn,Jacob E.|Daley,George Q.|Doudna,Jennifer A.|Fenner,Marsha|Greely,Henry T.|Jinek,Martin|Martin,G. Steven|Penhoet,Edward|Puck,Jennifer|Sternberg,Samuel H.|Weissman,Jonathan S.|Yamamoto,Keith R.",10.1126/science.aab1028,25791083,1095-9203,0036-8075,,2015,April,SCIENCE,6230,348,36-38
WOS:000245106900039,CRISPR Provides Acquired Resistance against Viruses in Prokaryotes,"Barrangou,Rodolphe|Fremaux,Christophe|Deveau,Helene|Richards,Melissa|Boyaval,Patrick|Moineau,Sylvain|Romero,Dennis A.|Horvath,Philippe",10.1126/science.1138140,17379808,,0036-8075,,2007,March,Science,5819,315,1709-1712
WOS:000308705700016,RNA-mediated programmable DNA cleavage,"Barrangou,Rodolphe",10.1038/nbt.2357,22965054,,1087-0156,,2012,September,NATURE BIOTECHNOLOGY,9,30,836-838
WOS:000301795100008,CRISPR. New Horizons in Phage Resistance and Strain idenification,"Barrangou,Rodolphe|Horvath,Philippe",10.1146/annurev-food-022811-101134,22224556,,1941-1413,,2012,,,,3,143-162
WOS:000328282700004,Genomic impact of CRISPR immunization against bacteriophages,"Barrangou,Rodolphe|Coute-Monvoisin,Anne-Claire|Stahl,Buffy|Chavichvily,Isabelle|Damange,Florian|Romero,Dennis A.|Boyaval,Patrick|Fremaux,Christophe|Horvath,Philippe",10.1042/BST20130160,24256225,1470-8752,0300-5127,,2013,December,BIOCHEMICAL SOCIETY TRANSACTIONS,6,41,1383-1391
WOS:000334987300007,CRISPR-Cas Systems: Prokaryotes Upgrade to Adaptive Immunity,"Barrangou,Rodolphe|Marraffini,Luciano A.",10.1016/j.molcel.2014.03.011,24766887,1097-4164,1097-2765,,2014,April,MOLECULAR CELL,2,54,234-244
WOS:000365318500001,Diversity of CRISPR-Cas immune systems and molecular machines,"Barrangou,Rodolphe",10.1186/s13059-015-0816-9,26549499,,1474-760X,,2015,November,GENOME BIOLOGY,,16,
WOS:000354722500008,Advances in CRISPR-Cas9 genome engineering: lessons learned from RNA interference,"Barrangou,Rodolphe|Birmingham,Amanda|Wiemann,Stefan|Beijersbergen,Roderick L.|Hornung,Veit|van Brabant Smith,Anja",10.1093/nar/gkv226,25800748,1362-4962,0305-1048,,2015,April,NUCLEIC ACIDS RESEARCH,7,43,3407-3419
WOS:000349839300002,Unraveling the potential of CRISPR-Cas9 for gene therapy,"Barrangou,Rodolphe|May,Andrew P.",10.1517/14712598.2015.994501,25535790,1744-7682,1471-2598,,2015,March,EXPERT OPINION ON BIOLOGICAL THERAPY,3,15,311-314
WOS:000383348500018,Applications of CRISPR technologies in research and beyond,"Barrangou,Rodolphe|Doudna,Jennifer A.",10.1038/nbt.3659,27606440,1546-1696,1087-0156,,2016,September,NATURE BIOTECHNOLOGY,9,34,933-941
WOS:000371430700018,CRISPR-Based Typing and Next-Generation Tracking Technologies,"Barrangou,Rodolphe|Dudley,Edward G.",10.1146/annurev-food-022814-015729,26772411,,1941-1413,,2016,,,,7,395-411
WOS:000406925300016,A Decade of discovery: CRISPR functions and applications,"Barrangou,Rodolphe|Horvath,Philippe",10.1038/nmicrobiol.2017.92,28581505,,2058-5276,,2017,July,NATURE MICROBIOLOGY,7,2,
WOS:000321901900020,Highly Efficient Targeted Mutagenesis of Drosophila with the CRISPR/Cas9 System,"Bassett,Andrew R.|Tibbit,Charlotte|Ponting,Chris P.|Liu,Ji-Long",10.1016/j.celrep.2013.06.020,23827738,,2211-1247,,2013,July,CELL REPORTS,1,4,220-228
WOS:000384329800002,Wnt/beta-catenin pathway in tissue injury: roles in pathology and therapeutic opportunities for regeneration,"Bastakoty,Dikshya|Young,Pampee P.",10.1096/fj.201600502R,27335371,1530-6860,0892-6638,,2016,October,FASEB JOURNAL,10,30,3271-3284
WOS:000090003800035,Chemically regulated zinc finger transcription factors,"Beerli,R.R.|Schopfer,U.|Dreier,B.|Barbas,C.F.",10.1074/jbc.M005108200,10924515,,0021-9258,,2000,October,JOURNAL OF BIOLOGICAL CHEMISTRY,42,275,32617-32627
WOS:000085409600039,Positive and negative regulation of endogenous genes by designed transcription factors,"Beerli,R.R.|Dreier,B.|Barbas,C.F.",10.1073/pnas.040552697,10660690,,0027-8424,,2000,February,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,4,97,1495-1500
WOS:000393979400032,Casposon integration shows strong target site preference and recapitulates protospacer integration by CRISPR-Cas systems,"Beguin,Pierre|Charpin,Nicole|Koonin,Eugene V.|Forterre,Patrick|Krupovic,Mart",10.1093/nar/gkw821,27655632,1362-4962,0305-1048,,2016,December,NUCLEIC ACIDS RESEARCH,21,44,10367-10376
WOS:000326342500001,Plant genome editing made easy: targeted mutagenesis in model and crop plants using the CRISPR/Cas system,"Belhaj,Khaoula|Chaparro-Garcia,Angela|Kamoun,Sophien|Nekrasov,Vladimir",10.1186/1746-4811-9-39,24112467,,1746-4811,,2013,October,PLANT METHODS,,9,
WOS:000353865700014,Editing plant genomes with CRISPR/Cas9,"Belhaj,Khaoula|Chaparro-Garcia,Angela|Kamoun,Sophien|Patron,Nicola J.|Nekrasov,Vladimir",10.1016/j.copbio.2014.11.007,25437637,1879-0429,0958-1669,,2015,April,CURRENT OPINION IN BIOTECHNOLOGY,,32,76-84
WOS:000257565300052,A novel family of sequence-specific endoribonucleases associated with the clustered regularly interspaced short palindromic repeats,"Beloglazova,Natalia|Brown,Greg|Zimmerman,Matthew D.|Proudfoot,Michael|Makarova,Kira S.|Kudritska,Marina|Kochinyan,Samvel|Wang,Shuren|Chruszcz,Maksymilian|Minor,Wladek|Koonin,Eugene V.|Edwards,Aled M.|Savchenko,Alexei|Yakunin,Alexander F.",10.1074/jbc.M803225200,18482976,1083-351X,,,2008,July,JOURNAL OF BIOLOGICAL CHEMISTRY,29,283,20361-20371
WOS:000297691500009,"Structure and activity of the Cas3 HD nuclease MJ0384, an effector enzyme of the CRISPR interference","Beloglazova,Natalia|Petit,Pierre|Flick,Robert|Brown,Greg|Savchenko,Alexei|Yakunin,Alexander F.",10.1038/emboj.2011.377,22009198,1460-2075,0261-4189,,2011,November,EMBO JOURNAL,22,30,4616-4627
WOS:000400358600005,Combining the auxin-inducible degradation system with CRISPR/Cas9-based genome editing for the conditional depletion of endogenous Drosophila melanogaster proteins,"Bence,Melinda|Jankovics,Ferenc|Lukacsovich,Tamas|Erdelyi,Miklos",10.1111/febs.14042,28207183,1742-4658,1742-464X,,2017,April,FEBS JOURNAL,7,284,1056-1069
WOS:000448204400003,A diversity-generating retroelement encoded by a globally ubiquitous Bacteroides phage,"Benler,Sean|Cobian-Gueemes,Ana|McNair,Katelyn|Hung,Shr-Hau|Levi,Kyle|Edwards,Rob|Rohwer,Forest",10.1186/s40168-018-0573-6,30352623,,2049-2618,,2018,October,MICROBIOME,,6,
WOS:000282870500025,The NIH Roadmap Epigenomics Mapping Consortium,"Bernstein,Bradley E.|Stamatoyannopoulos,John A.|Costello,Joseph F.|Ren,Bing|Milosavljevic,Aleksandar|Meissner,Alexander|Kellis,Manolis|Marra,Marco A.|Beaudet,Arthur L.|Ecker,Joseph R.|Farnham,Peggy J.|Hirst,Martin|Lander,Eric S.|Mikkelsen,Tarjei S.|Thomson,James A.",10.1038/nbt1010-1045,20944595,,1087-0156,,2010,October,NATURE BIOTECHNOLOGY,10,28,1045-1048
WOS:000451086700001,Genome Editing in Trees: From Multiple Repair Pathways to Long-Term Stability,"Bewg,William|Ci,Dong|Tsai,Chung-Jui",10.3389/fpls.2018.01732,30532764,,1664-462X,,2018,November,FRONTIERS IN PLANT SCIENCE,,9,
WOS:000299299600013,CRISPR-Cas Systems in Bacteria and Archaea: Versatile Small RNAs for Adaptive Defense and Regulation,"Bhaya,Devaki|Davison,Michelle|Barrangou,Rodolphe",10.1146/annurev-genet-110410-132430,22060043,,0066-4197,,2011,,,,45,273-297
WOS:000378393600047,Targeted HIV-1 Latency Reversal Using CRISPR/Cas9-Derived Transcriptional Activator Systems,"Bialek,Julia K.|Dunay,Gabor A.|Voges,Maike|Schaefer,Carola|Spohn,Michael|Stucka,Rolf|Hauber,Joachim|Lange,Ulrike C.",10.1371/journal.pone.0158294,27341108,,1932-6203,,2016,June,PLOS ONE,6,11,
WOS:000165847300028,Stimulation of homologous recombination through targeted cleavage by chimeric nucleases,"Bibikova,M.|Carroll,D.|Segal,D.J.|Trautman,J.K.|Smith,J.|Kim,Y.G.|Chandrasegaran,S.",10.1128/MCB.21.1.289-297.2001,11113203,1098-5549,0270-7306,,2001,January,MOLECULAR AND CELLULAR BIOLOGY,1,21,289-297
WOS:000177192500019,Targeted chromosomal cleavage and mutagenesis in Drosophila using zinc-finger nucleases,"Bibikova,M.|Golic,M.|Golic,K.G.|Carroll,D.",,12136019,,0016-6731,,2002,July,GENETICS,3,161,1169-1175
WOS:000182579800040,Enhancing gene targeting with designed zinc finger nucleases,"Bibikova,M.|Beumer,K.|Trautman,J.K.|Carroll,D.",10.1126/science.1079512,12730594,,0036-8075,,2003,May,SCIENCE,5620,300,764
WOS:000326658500004,The Spatial Organization of the Human Genome,"Bickmore,Wendy A.",10.1146/annurev-genom-091212-153515,23875797,,1527-8204,,2013,,,,14,67-84
WOS:000308265900008,CRISPR Interference Can Prevent Natural Transformation and Virulence Acquisition during In Vivo Bacterial Infection,"Bikard,David|Hatoum-Aslan,Asma|Mucida,Daniel|Marraffini,Luciano A.",10.1016/j.chom.2012.06.003,22901538,,1931-3128,,2012,August,CELL HOST \& MICROBE,2,12,177-186
WOS:000323970700028,Programmable repression and activation of bacterial gene expression using an engineered CRISPR-Cas system,"Bikard,David|Jiang,Wenyan|Samai,Poulami|Hochschild,Ann|Zhang,Feng|Marraffini,Luciano A.",10.1093/nar/gkt520,23761437,1362-4962,0305-1048,,2013,August,NUCLEIC ACIDS RESEARCH,15,41,7429-7437
WOS:000344977000020,Exploiting CRISPR-Cas nucleases to produce sequence-specific antimicrobials,"Bikard,David|Euler,Chad W.|Jiang,Wenyan|Nussenzweig,Philip M.|Goldberg,Gregory W.|Duportet,Xavier|Fischetti,Vincent A.|Marraffini,Luciano A.",10.1038/nbt.3043,25282355,1546-1696,1087-0156,,2014,November,NATURE BIOTECHNOLOGY,11,32,1146-1150
WOS:000411338600017,CRISPR-Mediated Base Editing Enables Efficient Disruption of Eukaryotic Genes through Induction of STOP Codons,"Billon,Pierre|Bryant,Eric E.|Joseph,Sarah A.|Nambiar,Tarun S.|Hayward,Samuel B.|Rothstein,Rodney|Ciccia,Alberto",10.1016/j.molcel.2017.08.008,28890334,1097-4164,1097-2765,,2017,September,MOLECULAR CELL,6,67,1068+
WOS:000408408100007,Modeling human disease in rodents by CRISPR/Cas9 genome editing,"Birling,Marie-Christine|Herault,Yann|Pavlovic,Guillaume",10.1007/s00335-017-9703-x,28677007,1432-1777,0938-8990,,2017,August,MAMMALIAN GENOME,7-8,28,291-301
WOS:000358801800014,An Essential Role of the Mitochondrial Electron Transport Chain in Cell Proliferation Is to Enable Aspartate Synthesis,"Birsoy,Kivanc|Wang,Tim|Chen,Walter W.|Freinkman,Elizaveta|Abu-Remaileh,Monther|Sabatini,David M.",10.1016/j.cell.2015.07.016,26232224,1097-4172,0092-8674,,2015,July,CELL,3,162,540-551
