event_id,event_year,event_month,event_day,account_id,sampled,event_text,type,subtype,actors,places,keywords,bib_keys,wos_keys,extracted_from,comment
113,2012,9,,10,,"Biochemical characterization of Cas9-mediated cleavage: Taking advantage of their heterologous system, Siksnys and his team purified Cas9 in complex with crRNA from the E. coli strain engineered to carry the S. thermophilus CRISPR locus and undertook a series of biochemical experiments to mechanistically characterize Cas9’s mode of action (Gasiunas et al., 2012).They verified the cleavage site and the requirement for the PAM, and using point mutations, they showed that the RuvC domain cleaves the non-complementary strand while the HNH domain cleaves the complementary site. They also noted that the crRNA could be trimmed down to a 20-nt stretch sufficient for efficient cleavage. Most impressively, they showed that they could reprogram Cas9 to target a site of their choosing by changing the sequence of the crRNA.",publication,,"Virginijus Siksnys, Vilnius University",,,gasiunas:2012,,timeline structure,
114,2013,1,,10,,"CRISPR-Cas9 harnessed for genome editing: Zhang, who had previously worked on other genome editing systems such as TALENs, was first to successfully adapt CRISPR-Cas9 for genome editing in eukaryotic cells (Cong et al., 2013). Zhang and his team engineered two different Cas9 orthologs (from S. thermophilus and S. pyogenes) and demonstrated targeted genome cleavage in human and mouse cells. They also showed that the system (i) could be programmed to target multiple genomic loci, and (ii) could drive homology-directed repair. Researchers from George Church’s lab at Harvard University reported similar findings in the same issue of Science (Mali et al., 2013).",publication,,"Feng Zhang, Broad Institute of MIT and Harvard, McGovern Institute for Brain Research at MIT",,,cong:2013;mali:2013a,,timeline structure,
115,1987,,,2,,First report of CRISPR clustered repeats. Ishino et al. 1987.,publication,,,,,ishino:1987,,timeline structure,
116,2000,,,2,,Recognition that CRISPR families are present throughout prokaryotes. Mojica et al. 2000.,publication,,,,,mojica:2000,,timeline structure,
117,2002,,,2,,"Coined CRISPR name, defined signature Cas genes. Jansen et al. 2002.",publication,,,,,jansen:2002,,timeline structure,
118,2005,,,2,,"Identified foreign origin of spacers, proposed adaptive immunity function. Mojica et al. 2005. Pourcel et al. 2005.",publication,,,,,mojica:2005;pourcel:2005,,timeline structure,
119,2005,,,2,,Identified PAM. Bolotin et al. 2005.,publication,,,,,bolotin:2005,,timeline structure,
120,2007,,,2,,First experimental evidence for CRISPR adaptive immunity. Barrangou et al. 2007.,publication,,,,,barrangou:2007,,timeline structure,
121,2008,,,2,,CRISPR acts upon DNA targets. Marraffini et al. 2008,publication,,,,,marraffini:2008,,timeline structure,
122,2008,,,2,,Spacers are converted into mature crRNAs that act as small guide RNAs. Brouns et al. 2008.,publication,,,,,brouns:2008,,timeline structure,
123,2009,,,2,,Type III-B Cmr CRISPR complexes cleave RNA. Hale et al. 2009.,publication,,,,,hale:2009,,timeline structure,
124,2010,,,2,,Cas9 is guided by spacer sequences and cleaves target DNA via DSBs. Garneau et al. 2010.,publication,,,,,garneau:2010,,timeline structure,
125,2011,,,2,1,tracrRNA forms a duplex structure with crRNA in association with Cas9. Deltcheva et al. 2011.,publication,,,,tracrRNA;duplex structure;crRNA;Cas9,deltcheva:2011,,timeline structure,
126,2011,,,2,,Type II CRISPR systems are modular and can be heterologously expressed in other organisms. Sapranauskas et al. 2011,publication,,,,,sapranauskas:2011,,timeline structure,
127,2012,,,2,1,In vitro characterization of DNA targeting by Cas9. Jinek et al. 2012. Gasiunas et al. 2012.,publication,,,,vitro;DNA targeting;Cas9,jinek:2012; gasiunas:2012,,timeline structure,
128,2013,,,2,,First demonstration of Cas9 genome engineering in eukaryotic cells. Cong et al. 2013. Mali et al. 2013.,publication,,,,,cong:2013;mali:2013a,,timeline structure,
129,2014,,,2,,Genome-wide functional screening with Cas9. Wanget al. 2014. Shalem et al. 2014.,publication,,,,,shalem:2014,,timeline structure,Wanget noch recherchieren
130,2014,,,2,,Crystal structure of apo-Cas9. Jinek et al. 2014.,publication,,,,,jinek:2014,,timeline structure,
131,2014,,,2,,Crystal structure of Cas9 in complex with guide RNA and target DNA. Nishimasu et al. 2014.,publication,,,,,,,timeline structure,
132,1987,12,,3,1,"Researchers find CRISPR sequences in Escherichia coli, but do not characterize their function",publication,,,,CRISPR;escherichia coli,ishino:1987,,timeline structure,
133,1995,7,,3,,CRISPR sequences are found to be common in other microbes,publication,,,,,,,timeline structure,
134,2007,3,,3,,Scientsits at food company Danisco determine that the repeats are part of a bacterial defence against viruses,publication,,,,,,,timeline structure,
135,2011,10,,3,1,"Caribou Biosciences raises $11 Million. Focus: Research, industry, therapeutics, agriculture",funding,,Caribou Biosciences,,Caribou Biosciences;11 Million,none,,timeline structure,
136,2012,6,,3,,"Researchers target CRISPR system to specific DNA sequences, highlighting its potential for genome editing",publication,,,,,jinek:2012,,timeline structure,
137,2013,1,,3,,"CRISPR is used in mouse and human cells, fuelling rapid uptake of the technique by researchers ",publication,,,,,cong:2013;mali:2013a;jinek:2013,,timeline structure,
138,2013,3,,3,,The University of California and others file for a patent on the findings,patent,,,,,,,timeline structure,
139,2013,11,,3,,Editas Medicine raises $43 Million. Focus: Therapeutics,funding,,,,,,,timeline structure,
140,2013,11,,3,1,CRISPR Therapeutics raises $89 Million. Focus: Therapeutics,funding,,,,CRISPR Therapeutics;89 Million,none,,timeline structure,
141,2014,4,,3,,"MIT and the Broad Institute are granted a patent on CRISPR gene editing, sparking a fierce patent battle.",patent,,,,,,,timeline structure,
142,2014,11,,3,,Intellia Therapeutics raises $15 Million,funding,,,,,,,timeline structure,
143,2015,3,,3,,"Report of the first CRISPR gene drive, which can spread an edited gene rapidly through a population.",publication,,,,,oye:2014,,timeline structure,
144,2015,4,,3,,"Researchers report that they have edited human embryos with CRISPR, triggering an ethical debate.",publication,,,,,liang:2015,,timeline structure,
145,2005,,,11,,Jennifer Doudna and Jillian Banfield started investigating CRISPR ,publication,,"Doudna, Banfield",University of California Berkeley,,,,timeline structure,
146,2008,,,11,,"DNA, not RNA, demonstrated to be the molecular target of most CRISPR-Cas systems",publication,, , ,,,,timeline structure,
147,2011,,,11,,Classification of the CRISPR-Cas system is proposed,publication,, , ,,,,timeline structure,
148,1987,12,,11,1,"The CRISPR mechanism first published. Amemura, Ishino, Makino, Nakata, Shinagawa, Takase, Wachi. Osaka University",publication,,"Amemura, Ishino, Makino, Nakata, Shinagawa, Takase, Wachi",Osaka University,CRISPR;Amemura;Ishino;Makino;Nakata;Shinagawa;Takase;Wachi,none,,timeline structure,in dieser Timeline keine Quelle
149,2000,1,18,11,,"More clustered repeats of DNA identified in other bacteria and archaea, termed Short Regularly Spaced Repeats (SRSR)",publication,,"Mojica, Diez-Villasenor, Soria, Juez","University of Alicante, University Miguel Hernandez",,,,timeline structure,
150,2002,3,,11,,Term CRISPR-Cas9 published for first time,publication,,"Mojica, Jansen, Embden, Gaastra, Schouls",Utrecht University,,,,timeline structure,
151,2005,8,1,11,,French scientists suggested CRISPR spacer sequences can provide cell immunity against phage infection and degrade DNA,publication,,"Bolotin, Quinquis, Sorokin, Ehrlich",Institut National de la Recherche Agronomique,,,,timeline structure,
152,2005,11,11,11,,American researchers identified new families of Cas genes which appeared to help in protecting bacteria against invading viruses,publication,,"Haft, Selengut, Mongodin, Nelson",The Institute for Genomic Research,,,,timeline structure,
153,2007,3,23,11,,Experiments demonstrate for the first time the role of CRISPR together with Cas9 genes in protecting bacteria against viruses,publication,,"Barrangou, Horvath, Fremaux, Deveau, ",Danisco USA Inc,,,,timeline structure,
154,2008,2,,11,,Scientists coin the term 'protospacer' to denote viral sequence that corresponds to a 'spacer' in the CRISPR-Cas9 system,publication,, , ,,,,timeline structure,
155,2008,8,,11,,Scientists characterised the RNA processing pathway in CRISPR system,publication,,,"Wageningen University, University of Sheffield, National Institutes of Health",,,,timeline structure,
156,2008,12,,11,,Scientists published the RNA gene silencing pathway involved in the CRISPR-Cas mechanism ,publication,,"Carte, Wang, Li, Terns","University of Georgia, Florida State University",,,,timeline structure,
157,2011,3,,11,,Emmanuelle Charpentier and Jennifer Doudna joined forces to investigate Cas9 enzyme,publication,,"Doudna, Charpentier, Hinek, Hauser","University of California Berkeley, Umea University",,,,timeline structure,
158,2012,4,,11,,First commercialisation of CRISPR-Cas 9 technology,patent,, ,Dupont,,,,timeline structure,
159,2012,5,,11,,First patent application submitted for CRISPR-Cas 9 technology,patent,,"Doudna, Charpentier","University of California Berkeley, University of Vienna",,,,timeline structure,
160,2012,8,17,11,,Publication of radically new gene editing method that harnesses the CRISPR-Cas9 system ,publication,,"Jinek, Chylinski, Fonfara, Hauer, Doudna, Charpentier",University of California Berkeley,,,,timeline structure,
161,2012,12,12,11,,Fast track application for CRISPR-Cas 9 technology submitted to US patent office. ,patent,,Zhang,"Broad Institute, Massachusetts Institute of Technology",,,,timeline structure,
162,2013,1,,11,,CRISPR-Cas is used in human genome editing,publication,, , ,,,,timeline structure,
163,2013,1,,11,1,CRISPR-Cas is used to edit the genome of a zebrafish,publication,, , ,edit;genome;zebrafish,none,,timeline structure,keine Quellenangabe
164,2013,2,,11,,CRISPR-Cas shown to programme repression and activation of gene transcription,publication,,"Bikard, Murrafini",Rockefeller University,,,,timeline structure,
165,2013,3,,11,,"CRISPR-Cas is used in genome editing of Saccharomyces cerevisiae, a yeast species used in wine making, baking and brewing",publication,, , ,,,,timeline structure,
166,2013,4,1,11,,CRISPR-Cas mediated gene regulation shown to help regulation of endogenous bacterial genes,publication,,"Sampson, Weiss",Emory University,,,,timeline structure,
167,2013,8,,11,,CRISPR-Cas used to engineer a rat's genome,publication,, , ,,,,timeline structure,
168,2013,8,,11,1,"CRISPR-Cas used to engineer plant genomes including rice, wheat, Arabidopsis, tobacco and Sorghum",publication,, , ,plant;genome;rice;wheat;Arabidopsis;tobacco;Sorghum,none,,timeline structure,keine Quellenangabe
169,2013,8,,11,,Improvements made to the specificity of CRISPR-Cas system,publication,, , ,,,,timeline structure,
170,2015,3,26,11,,US scientists call for a voluntary worldwide moratorium on the use of genome editing tools to modify human reproductive cells,statement,,"Lamphier, Urnov", ,,,,timeline structure,
171,2015,3,,11,,Scientists suggest CRISPR/Cas9 used with stem cells could provide human organs from transgenic pigs,publication,,"Feng, Dai, Mou, Cooper, Shi, Cai ","Shenzhen University, University of Pittsburgh Medical Center, Guangxi University",,,,timeline structure,
172,2015,4,15,11,,National Institutes of Health declared it will not fund any use of genome editing technologies in human embryos,funding,, , ,,,,timeline structure,
173,2015,4,22,11,,"UK Nuffield Council on Bioethics launched a new working group to look into institutional, national and international policies and provisions relevant to genome editing",organization,, , ,,,,timeline structure,
174,2015,5,1,11,,First report of genes edited in human embryos ignited global ethical debate about gene edting technology,publication,,"Huang, Liang, Xu, Zhang",Sun Yat-sen University,,,,timeline structure,
175,2015,9,1,11,,"Leading UK research councils, including the MRC, declared support for using CRISPR-Cas9 and other genome editing techniques in preclinical research",endorsement,, , ,,,,timeline structure,
176,2015,9,11,11,1,Hinxton Group issues a statement indicating that most of the ethical and moral questions raised about CRISPR and gene editing have been debated before,statement,, , ,Hinxton Group;statement;ethical;moral ,none,,timeline structure,
177,2015,9,15,11,,UK Nuffield Council on Bioethics held its first workshop to identify and define ethical questions relating to developments in genome editing research,meeting,, , ,,,,timeline structure,
178,2015,9,18,11,1,UK scientists sought license to genetically modify human embryos to study the role played by genes in the first few days of human fertilisation,application,,Naikan,Crick Institute,embryos;human;fertilisation,none,,timeline structure,
179,2015,9,25,11,,"New protein, Cpf1, found, offering means to simplify gene editing. ",publication,,"Zhang, Zetsche, Gootenberg, Abudayyeh, Slaymaker","Broad Institute, Massachusetts Institute of Technology",,,,timeline structure,
180,2015,10,5,11,,CRISPR/Cas9 modified 60 genes in pig embryos in first step to create organs suitable for human transplants,publication,,Church,Harvard University,,,,timeline structure,
181,2015,10,6,11,1,UNESCO’s International Bioethic Committee called for ban on genetic editing of human germline ,statement,, , ,UNESCO;International Bioethic Committee;\bban\b;human germline ,none,,timeline structure,
182,2015,11,16,11,,US scientists published a technique for overwriting changes made by CRISPR/Cas 9,publication,,"DiCarlo, Chavez, Dietz, Esvelt, Church","Harvard University, Swiss Federal Institute of Technology in Zurich ",,,,timeline structure,
183,2015,11,23,11,,US scientists genetically modified mosquitos using CRISPR/Cas9 to prevent them carrying malaria parasite,publication,,"Gantz, Jasinskiene, Tatarenkova, Fazekas, Macias, Bier, James","University California San Diego, University of California Irvine",,,,timeline structure,
184,2015,12,1,11,,"International Summit on Human Gene Editing met to discuss the scientific, medical, ethical, and governance issues associated with recent advances in human gene-editing research",meeting,,"Baltimore, Doudna, Church, Zhang","US National Academies of Science, Engineering and Medicine, US National Academy of Medicine, Chinese Academy of Sciences, Royal Society",,,,timeline structure,
185,2015,12,31,11,,"Gene editiing tool, CRISPR, successfully used to improve muscle function in mouse model of Duchenne muscular dystrophy",publication,,"Nelson, Gersbach, Hakim, Ousterout, Thakore","Duke University, University of Missouri, University of North Carolina, Massachusetts Institute of Technology, Harvard University",,,,timeline structure,
186,2016,1,6,11,,US scientists published improved version of CRISPR/Cas 9 with less risk of off-target DNA breaks,publication,,"Kleinstiver, Pattanayak, Prew, Tsai, Nguyen, Zheng, Joung",Harvard University,,,,timeline structure,
187,2016,2,1,11,,UK scientists authorised to genetically modify human embryos using CRISPR-Cas 9,policy,,Niakan,Crick Institute,,,,timeline structure,
188,2016,5,16,11,,US scientists publish new base editing technique offering means to alter genome without needing to cleave double-stranded DNA or for a donor DNA template,publication,,"Komor, Kim, Packer, Zuris, Liu",Harvard University,,,,timeline structure,
189,2016,6,21,11,,2016: NIH gives green light for first clinical trial using gene editing tool CRISPR/Cas 9 to treat patients,policy,,June,University of Pennsylvania,,,,timeline structure,
190,2017,2,2,11,,US National Academies of Science and Medicine gave green light to proceed with CRISPR in germ-line experiments,policy,, , ,,,,timeline structure,
191,2017,4,13,11,,CRISPR shown to be sensitive diagnostic tool for detecting single target of DNA or RNA molecule,publication,,"Abudayyeh, Bhattacharyya, Collins, Daringe, Donghia, Dy, Essletzbichler, Freije, Hung, Joung, Koonin, Lee, Livny, Myhrvold, Regev, Sabeti, Gootenberg, Verdine, Zhang","Broad Institute, Massachusetts Institute of Technology, Harvard University, Howard Hughes Medical Institute ",,,,timeline structure,
192,2017,5,13,11,,Research published demonstrating how CRISPR-CAS9 can be used to eliminate HIV in infected mice. ,publication,,"Yin, Zhang, Qu, Chang, Putatunda, Xiao, Li, Zhao, Dhai, Qin, Mo, Young, Khalili, Hu","Temple University, University of Pittsburgh, Sichuan University",,,,timeline structure,
193,2017,8,2,11,,Research published demonstrating possibility of editing gene defect in pre-implanted human embryos for preventing inherited heart disease,publication,,"Hong, Marti-Gutierrez, Park, Mitalipov, Kaul, Kim, Amato, Belmonte","Oregon Health & Science University, Salk Institute, Center for Genome Engineering, Seoul National University, China National GeneBank,",,,,timeline structure,
194,2017,9,9,11,,DNA of human embryos edited using CRISPR-Cas9 to study cause of infertility,publication,,"Fogarty, McCarthy, Snijders, Powell, Kubikova, Blakeley, Lea, Elder, Wamaitha, Kim, Maciulyte, Kleinjung, Kim, Wells, Vallier, Bertero, Turner, Niakan","Francis Crick Instiitute, Cambridge University, Oxford University, Seoul National University",,,,timeline structure,
195,2017,9,23,11,,"Chinese researchers report correction of gene linked to beta thalassaemia, inherited blood disorder, in human embryos using base editing technique",publication,,"Liang, Ching, Sun, Xie, Xu, Zhang, Xhiong, Ma, Liu, Wang, Fang, Songyang, Zhou, Huang","Sun Yat-sen University, Baylor College of Medicine",,,,timeline structure,
196,2017,10,25,11,,New CRISPR technique published for editing RNA ,publication,,"Zhang, Cox, Gootenberg, Abudayyeh, B Franklin, Kellner, Essletzbichler, Verdine, Joung, Lander, Belanto, Voytas, Regev","Massachusetts Institute of Technology, University of Minnesota",,,,timeline structure,
197,2017,10,25,11,,"Base editing improvements announced for CRISPR technique, providing means to change individual chemical letters of DNA without need to cleave DNA",publication,,"Gaudelli, Komor, Rees, Packer, Badran, Bryson, Liu","Massachusetts Institute of Technology, Harvard University",,,,timeline structure,
198,2018,1,5,11,,Researchers identify pre-existing antibodies targeting CAS9 proteins raising possibility of immune responses undermining utility of CRISPR-Cas9 for gene therapy,publication,,"Charlesworth, Deshpande, Dever, Dejene,Gomez-Ospina, Mantri, Pavel-Dinu, Camarena, Weinberg, Porteus",Stanford University,,,,timeline structure,
199,2018,8,27,11,1,First CRISPR-Cas9 clinical trial launched,clinical practice,, ,"Vertex Pharmaceuticals, CRSIPR Therapeutics",clinical trial,none,,timeline structure,
200,2018,11,24,11,,First gene-edited babies announced by Chinese scientist,publication,,Jiankui,Southern University of Science and Technology of China,,,,timeline structure,
201,2018,12,14,11,,New gene modification technique (CRISPRa) makes it possible to increase expression of its target gene,publication,,"Matharu, Rattanasopha, Tamura, Maliskova, Wang, Bernard, Hardin, Eckalbar, Vaisse, Ahituv",University of California San Francisco,,,,timeline structure,
202,2018,12,21,11,,CRISPR-Cas9 editing helped restore effectiveness of first-line chemotherapies for lung cancer,publication,,"Kmiec, Bialk, Wang, Hanas",Helen F Graham Cancer Center and Research Institute,,,,timeline structure,
203,2019,1,23,11,,CRISPR-Cas9 used to control genetic inheritance in mice,publication,,"Grunwald, Gntz, Poplawski, Xu, Bier, Cooper",University of California San Diego,,,,timeline structure,
204,2019,10,21,11,,New DNA editing technique called 'prime editing' published,publication,,"Anzalone, Randolph, Davis, Sousa, Koblan, Levy, Chen, Wilson, Newby, Ranguram, Liu","Massachusetts Institute of Technology, Harvard University",,,,timeline structure,
205,2019,12,30,11,1,Chinese scientist convicted for using CRISPR-Cas9 in human babies,trial,,Jiankui,Southern University of Science and Technology of China,Chinese;convicted;human babies,,,timeline structure,
206,2020,3,4,11,1,First patient received gene editing therapy with CRISPR directly administered into the body,clinical practice,,Pennesi,Oregon Health and Science University,patient;therapy,,,timeline structure,
634,2013,8,,11,,"CRISPR-Cas used to engineer plant genomes including rice, wheat, Arabidopsis, tobacco and Sorghum",publication,,,,,jiang:2013a,,timeline structure,
207,1987,,,2,,"The CRISPR story began in 1987. While studying the iap enzyme involved in isozyme conversion of alkaline phosphatase in E. coli, Nakata and colleagues reported a curious set of 29 nt repeats downstream of the iap gene (Ishino et al., 1987)",,,Nakata; Ishino,,,ishino:1987,,narrative structure,
208,1990s,,,2,,"Over the next 10 years, as more microbial genomes were sequenced, additional repeat elements were reported from genomes of different bacterial and archaeal strains",,,,,,none,,narrative structure,
209,2000,,,2,,"Mojica and colleagues eventually classified interspaced repeat sequences as a unique family of clustered repeat elements present in >40% of sequenced bacteria and 90% of archaea (Mojica et al., 2000).",,,Mojica,,,mojica:2000,,narrative structure,
210,2002,,,2,,"These early findings began to stimulate interest in such microbial repeat elements. By 2002, Jansen and Mojica coined the acronym CRISPR to unify the description of microbial genomic loci consisting of an interspaced repeat array (Jansen et al., 2002; Barrangou and van der Oost, 2013). ",,,Jansen; Mojica; Barrangou; van der Oost,,,jansen:2002;barrangou:2007,,narrative structure,
265,2002,,,2,,"At the same time, several clusters of signature CRISPR-associated (cas) genes were identified to be well conserved and typically adjacent to the repeat elements (Jansen et al., 2002), serving as a basis for the eventual classification of three different types of CRISPR systems (types I–III) (Haft et al., 2005; Makarova et al., 2011b).",,,Haft; Makarova,,,mali:2013a,,narrative structure,
211,2005,,,2,,"A key turning point came in 2005, when systematic analysis of the spacer sequences separating the individual direct repeats suggested their extrachromosomal and phage-associated origins (Mojica et al., 2005; Pourcel et al., 2005; Bolotin et al., 2005). This insight was tremendously exciting, especially given previous studies showing that CRISPR loci are transcribed (Tang et al., 2002) and that viruses are unable to infect archaeal cells carrying spacers corresponding to their own genomes (Mojica et al., 2005). Together, these findings led to the speculation that CRISPR arrays serve as an immune memory and defense mechanism, and individual spacers facilitate defense against bacteriophage infection by exploiting Watson-Crick base-pairing between nucleic acids (Mojica et al., 2005; Pourcel et al., 2005). Despite these compelling realizations that CRISPR loci might be involved in microbial immunity, the specific mechanism of how the spacers act to mediate viral defense remained a challenging puzzle.",,,Mojica; Pourcel; Bolotin; Tang,,,,,narrative structure,
212,2005-2006,,,2,,"Despite these compelling realizations that CRISPR loci might be involved in microbial immunity, the specific mechanism of how the spacers act to mediate viral defense remained a challenging puzzle. Several hypotheses were raised, including thoughts that CRISPR spacers act as small RNA guides to degrade viral transcripts in a RNAi-like mechanism (Makarova et al., 2006) or that CRISPR spacers direct Cas enzymes to cleave viral DNA at spacer-matching regions (Bolotin et al., 2005).",,,Makarova; Bolotin,,,,,narrative structure,
